id,intervention,sex,age,educ,income
1,4,2,35,5,3
2,1,1,59,1,1
3,4,1,51,4,3
4,3,1,50,5,2
5,2,2,58,5,2
6,1,1,31,5,1
7,3,1,44,5,2
8,2,1,57,4,2
9,1,1,36,4,3
10,2,1,45,4,3
11,2,1,56,5,1
12,2,1,46,4,3
13,4,1,34,5,3
14,4,1,41,1,2
15,4,2,27,2,2
16,4,1,31,1,1
17,3,1,44,4,2
18,2,1,40,5,2
19,1,1,37,3,1
20,3,1,21,4,1
21,3,1,42,4,2
22,4,1,29,4,2
23,1,1,22,4,1
24,3,1,51,4,3
25,3,1,46,4,3
26,4,1,35,5,3
27,4,1,34,4,3
28,1,1,62,4,1
29,2,1,45,1,2
30,3,2,50,1,3
31,1,1,58,4,2
32,1,1,45,5,3
33,4,1,40,5,3
34,1,1,43,5,3
35,3,1,29,4,1
36,1,1,45,4,1
37,2,1,47,5,2
38,3,1,50,4,3
39,2,1,49,4,1
40,2,1,53,4,3
41,4,1,50,2,2
42,2,1,46,4,2
43,3,1,24,4,3
44,2,2,36,4,3
45,2,1,36,4,2
46,4,1,35,3,2
47,4,1,32,3,2
48,2,1,42,3,1
49,1,1,36,2,1
50,3,1,39,5,2
51,2,1,83,2,2
52,3,2,52,5,3
53,1,1,40,3,1
54,4,1,39,1,3
55,3,1,27,3,2
56,4,1,56,3,2
57,4,1,45,4,1
58,3,1,60,5,2
59,1,1,50,5,2
60,3,1,61,4,2
61,4,1,43,4,2
62,2,1,27,5,3
63,1,2,45,3,2
64,1,1,39,3,2
65,2,1,50,4,1
66,2,1,51,5,3
67,1,1,65,4,2
68,3,1,28,3,1
69,2,1,24,4,2
70,2,1,45,4,3
71,1,1,45,3,3
72,4,1,37,5,3
73,2,1,50,5,1
74,2,1,54,4,2
75,2,1,41,2,1
76,1,1,48,3,2
77,1,1,37,5,2
78,3,1,28,4,2
79,4,1,54,3,2
80,2,1,33,4,3
81,1,1,47,4,3
82,3,1,39,5,2
83,4,1,71,2,1
84,2,1,54,3,2
85,2,1,38,5,3
86,2,1,58,4,2
87,4,1,53,5,2
88,1,2,59,3,2
89,4,1,33,5,2
90,2,1,35,4,2
91,2,1,43,4,2
92,3,1,60,5,3
93,3,1,68,1,2
94,3,1,24,4,1
95,2,1,56,4,1
96,1,1,58,5,1
97,1,1,52,5,3
98,2,1,65,3,1
99,4,1,25,5,2
100,1,1,32,4,2
101,4,1,60,5,3
102,3,1,61,5,2
103,1,1,42,1,3
104,1,1,51,5,3
105,1,2,57,1,2
106,2,1,28,4,3
107,1,1,44,4,3
108,4,1,59,5,1
109,4,1,35,4,2
110,1,1,30,5,1
111,4,1,63,5,2
112,4,2,52,4,1
113,1,2,42,4,1
114,1,1,71,4,1
115,1,2,52,5,3
116,3,1,55,5,1
117,3,1,51,4,3
118,2,1,61,4,2
119,3,1,38,5,2
120,3,1,51,5,2
121,3,1,26,3,1
122,1,1,23,5,2
123,1,1,56,4,1
124,4,1,62,2,1
125,2,1,56,4,3
126,2,1,40,5,2
127,1,1,42,3,2
128,4,1,46,5,3
129,3,1,60,5,3
130,4,2,21,1,1
131,2,1,48,5,2
132,2,1,33,5,3
133,1,1,26,5,2
134,1,1,52,4,1
135,4,1,59,5,3
136,3,1,52,5,3
137,2,2,47,5,3
138,1,1,23,2,1
139,2,1,51,4,1
140,3,2,31,3,1
141,2,2,67,5,2
142,4,1,42,5,1
143,2,2,48,2,2
144,1,1,57,5,2
145,4,2,56,4,1
146,4,1,36,3,2
147,2,1,36,2,1
148,3,1,34,4,1
149,1,2,59,4,2
150,3,1,44,3,1
151,3,1,50,4,2
152,3,1,31,4,2
153,4,2,48,5,2
154,4,1,27,4,2
155,3,2,71,4,1
156,4,1,26,3,2
157,1,2,41,5,1
158,4,1,34,5,3
159,4,1,44,4,1
160,4,1,40,5,3
161,3,2,43,5,3
162,3,1,37,3,2
163,3,1,40,5,3
164,2,1,30,4,2
165,4,1,30,3,2
166,4,1,56,5,3
167,2,1,34,5,3
168,2,1,42,2,1
169,1,1,52,5,3
170,2,1,50,4,3
171,1,1,64,4,2
172,3,1,49,5,2
173,3,2,48,5,3
174,3,1,61,3,2
175,1,1,46,3,2
176,3,1,29,4,2
177,1,1,53,4,3
178,1,1,31,5,2
179,3,1,44,4,2
180,1,1,57,3,1
181,3,1,45,4,1
182,3,1,55,5,3
183,4,1,50,5,2
184,3,1,60,5,2
185,3,2,41,4,1
186,4,1,46,1,2
187,1,1,52,5,2
188,2,1,59,4,2
189,2,1,47,5,1
190,2,1,57,5,1
191,2,1,53,5,1
192,4,1,63,5,3
193,2,2,25,5,2
194,2,1,41,1,2
195,3,1,37,4,1
196,3,1,44,5,2
197,4,1,29,5,2
198,3,1,52,5,3
199,1,1,28,4,3
200,1,1,58,5,3
201,2,1,51,5,2
202,4,1,45,1,2
203,1,1,54,5,1
204,4,2,32,5,1
205,1,2,41,4,3
206,2,1,33,4,2
207,3,1,50,5,3
208,4,1,33,3,2
209,4,1,32,3,2
210,1,2,28,4,2
211,3,1,50,4,1
212,3,1,43,2,2
213,2,1,37,5,3
214,3,1,35,4,2
215,4,1,75,3,2
216,2,1,30,4,2
217,4,2,46,2,3
218,3,1,29,4,2
219,1,1,46,5,2
220,3,1,49,4,3
221,3,1,51,5,2
222,1,1,58,5,2
223,4,1,24,5,1
224,1,1,58,4,3
225,2,1,36,5,1
226,2,1,42,4,1
227,4,1,46,5,3
228,2,2,54,5,3
229,4,1,48,3,2
230,2,1,21,2,1
231,2,1,45,3,1
232,1,1,43,5,2
233,3,1,47,4,2
234,3,2,33,5,3
235,2,2,18,2,1
236,3,1,27,4,2
237,4,2,33,3,3
238,4,1,30,5,2
239,1,1,49,5,2
240,3,1,49,2,3
241,4,1,40,5,3
242,4,1,30,5,1
243,4,2,26,4,2
244,2,1,77,3,2
245,4,1,29,2,1
246,3,1,52,5,2
247,1,1,23,4,1
248,2,1,29,4,1
249,1,1,30,4,3
250,4,1,60,5,3
251,4,2,31,5,2
252,1,1,27,5,1
253,2,2,64,5,2
254,3,1,27,5,2
255,4,1,34,3,2
256,2,1,53,3,2
257,1,1,62,5,2
258,3,1,36,4,2
259,4,1,54,4,3
260,2,1,63,2,2
261,3,2,55,4,3
262,2,1,24,4,2
263,1,2,32,5,2
264,1,1,27,4,2
265,2,1,52,1,3
266,4,1,36,3,2
267,4,1,19,2,1
268,2,1,36,5,3
269,3,2,23,4,1
270,4,1,30,5,3
271,1,1,47,5,3
272,1,1,55,4,2
273,3,1,55,5,2
274,1,1,28,5,3
275,3,1,34,5,3
276,1,1,37,5,2
277,3,1,36,2,2
278,4,1,56,3,2
279,2,1,58,3,2
280,2,1,37,5,3
281,4,2,67,4,2
282,1,1,43,2,2
283,2,1,39,4,2
284,3,2,19,4,1
285,1,1,45,5,3
286,3,1,41,4,2
287,2,1,43,4,2
288,3,2,26,5,1
289,1,1,49,4,1
290,4,1,30,5,3
291,2,1,39,5,3
292,4,1,47,4,2
293,2,2,52,4,3
294,3,1,59,5,2
295,1,1,28,4,2
